assists_diff,CC_diff,visionScore_diff,towerKills_diff,dragonKills_diff,won?,goldSpent,totalDamageDealtToChampions,deaths,baronKills,totalMinionsKilled,damage_per_death,damageDealtToObjectives,kills,totalHeal,win
0.2,1.68,-1.36,0.0,0.04,False,-178.1999999999989,-676.7999999999993,0.7199999999999998,0.08000000000000002,-2.5999999999999943,459.3059084461288,5429.983333333334,3.0333333333333323,-225.01666666666642,0.033333333333333326
-9.76,-8.08,14.2,1.44,1.32,False,-1822.9277419354821,-5673.233548387099,-3.1341935483870964,0.17548387096774193,36.45161290322581,694.1899039155287,-1364.25,-1.424999999999999,435.7999999999993,0.22499999999999998
0.28,-10.16,-10.48,-0.76,-0.8,False,793.4646464646466,-3384.8754208754217,0.6363636363636367,-0.06397306397306396,7.0471380471380485,-1486.056462188606,-1070.6285714285714,0.6857142857142868,-3037.504761904762,-0.15238095238095228
4.2,-2.48,-16.32,-1.2,-0.6,True,306.6800000000003,565.794285714288,0.8971428571428577,-0.16571428571428576,-27.525714285714287,-776.5219358419363,-631.2000000000003,-1.1600000000000001,-2555.6800000000003,-0.19999999999999996
-2.92,-8.28,-10.04,-0.6,0.04,False,-835.9295125164699,1553.2279314888,-2.104743083003953,-0.655467720685112,-23.66666666666667,327.94713009212956,2890.283333333333,0.16666666666666696,1041.4333333333343,0.19999999999999996
2.36,-4.6,0.16,1.64,0.04,True,1928.8855263157893,5966.144736842107,1.2815789473684216,-0.09473684210526317,41.24736842105263,307.405332405689,473.6857142857152,0.8761904761904757,1249.2666666666664,0.03809523809523807
-5.92,2.32,4.4,-0.2,0.08,False,-3109.616326530613,-6360.902040816325,-0.424489795918368,-0.11428571428571427,-26.457142857142856,141.04182523825284,2639.942857142856,-3.5619047619047626,1257.3714285714295,0.04761904761904773
1.68,7.2,-3.32,0.04,0.32,False,69.22135007849283,5360.280481423339,1.7681841967556249,0.041339612768184195,0.2469911041339543,-1071.851897824397,-448.63333333333367,0.40000000000000036,453.16666666666697,0.04999999999999993
8.04,3.36,-8.28,-2.04,-1.24,False,-471.25427350427344,-5765.982905982906,-1.801282051282051,-0.16666666666666666,-38.76923076923077,191.33473595187934,2431.3142857142852,3.200000000000002,2063.9809523809527,0.009523809523809601
4.84,10.88,-6.12,-1.24,-0.84,False,-886.718518518519,-2131.3807407407403,1.0459259259259248,-0.2562962962962963,-22.564444444444447,-326.0843640150697,1281.7200000000003,0.0400000000000027,2994.3199999999997,-0.16000000000000003
5.16,-1.04,-2.36,0.28,-0.24,True,235.59999999999854,298.0,2.3999999999999995,-0.07999999999999999,-14.959999999999994,26.360797078394626,1831.6800000000003,2.0,1004.8800000000001,0.12
-0.04,-3.36,7.64,-0.12,-0.08,True,772.4896551724123,2917.4358620689636,2.5006896551724145,0.022068965517241385,-15.231724137931032,-468.38854756354704,1037.8,-0.5599999999999996,1876.0,-0.28
-2.2,-0.16,-0.2,-1.68,-0.08,True,-1758.1483803552765,-5761.551724137931,-2.0188087774294665,-0.3040752351097178,-21.73876698014628,-1297.2400816960826,-3998.12,1.5599999999999987,-6087.5999999999985,0.040000000000000036
2.2,-4.72,5.76,0.04,0.32,False,-444.16475095785427,-2236.448275862069,0.8033205619412511,0.09195402298850572,-26.13665389527459,-230.2194423830133,-6199.5428571428565,-2.2285714285714286,-4179.571428571429,-0.15238095238095228
-6.12,-5.24,8.6,1.16,1.04,False,-1413.7931034482754,-4469.689655172413,-2.8965517241379306,0.10344827586206898,25.448275862068968,-280.625085100085,-4934.9,-0.8333333333333339,-4451.299999999999,0.06666666666666665
2.64,2.56,-7.2,-1.04,0.04,True,841.5200000000004,3170.0,1.08,-0.48000000000000004,-23.200000000000003,-320.9179076479086,-8566.199999999997,-2.719999999999999,187.60000000000036,0.0
7.08,10.2,-8.56,-0.08,-0.68,True,450.4977777777767,1507.1866666666683,0.666666666666667,-0.21185185185185185,-56.687407407407406,-127.57125974025985,3787.8399999999983,1.3599999999999985,2647.5199999999986,-0.040000000000000036
4.28,-3.48,1.4,1.24,0.6,True,3413.917575757576,11494.49212121212,1.4218181818181819,-0.18909090909090912,33.5660606060606,-264.0755686377115,-2352.3809523809523,-0.4571428571428582,-3742.485714285714,0.06666666666666665
3.08,17.36,13.16,-0.6,0.6,True,-2353.4248275862064,-1288.0841379310368,-1.7668965517241384,-0.06482758620689655,-53.553103448275856,1265.0637811730749,2068.4800000000005,0.32000000000000206,1693.0,0.12
-4.4,-3.76,-4.6,0.6,0.4,False,-637.5200000000004,-5833.24,1.1600000000000001,0.03999999999999998,1.0799999999999983,326.1336204779627,-187.41666666666606,1.3166666666666673,2074.583333333332,0.04999999999999999
